"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rue des Pyrénées, Paris, France"	"48,847784"	"2,406448"	"doubt"	""
"Rue de Paris, Les Lilas, France"	"48,898269"	"2,440405"	"doubt"	""
"Rue des Rigoles, Paris, France"	"48,87254"	"2,392493"	"doubt"	""
"Rue Goubet, Paris, France"	"48,88504"	"2,390088"	"doubt"	""
"Rue des Pyrénées, Paris, France"	"48,847784"	"2,406448"	"doubt"	""
"Rue Sadi Carnot, Drancy, France"	"48,92631"	"2,439528"	"doubt"	""
"Allée Darius Milhaud, Paris, France"	"48,883739"	"2,386072"	"doubt"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Rue Chassagnolle, Les Lilas, France"	"48,875615"	"2,414147"	"doubt"	""
"Rosny-sous-Bois, France"	"48,875966"	"2,486779"	"doubt"	""
"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rue Augustin Thierry, Paris, France"	"48,876087"	"2,393955"	"doubt"	""
"Montreuil, France"	"48,864158"	"2,448297"	"doubt"	""
"Rue Chassagnolle, Les Lilas, France"	"48,875615"	"2,414147"	"doubt"	""
"Rue Étienne Marcel, Montreuil, France"	"48,877951"	"2,449979"	"doubt"	""
"11 bis Rue Rabelais, Montreuil, France"	"48,862526"	"2,4385"	"success"	""
"Rue Antoinette, Montreuil, France"	"48,87355"	"2,458773"	"doubt"	""
"Rue Haxo, Paris, France"	"48,873963"	"2,403405"	"doubt"	""
"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rue de la Solidarité, Paris, France"	"48,853118"	"2,438216"	"doubt"	""
"Rue Eugène Martin, Fontenay-sous-Bois, France"	"48,850274"	"2,458726"	"doubt"	""
"Aubervilliers, France"	"48,910939"	"2,384788"	"doubt"	""
"Rue de Stalingrad, Montreuil, France"	"48,856419"	"2,445276"	"doubt"	""
"Rue Molière, Montreuil, France"	"48,856011"	"2,447469"	"doubt"	""
"5 Rue de la Révolution, Montreuil, France"	"48,856362"	"2,42917"	"success"	""
"Allée Darius Milhaud, Paris, France"	"48,883739"	"2,386072"	"doubt"	""
"7-9 Rue des Caillots, Montreuil, France"	"48,865169"	"2,439703"	"success"	""
"Rue du Retrait, Paris, France"	"48,86847"	"2,394518"	"doubt"	""
"Allée Pierre Ronsard, Clichy-sous-Bois, France"	"48,906074"	"2,543396"	"doubt"	""
"Rue Alphonse Penaud, Paris, France"	"48,86831"	"2,406812"	"doubt"	""
"Rue Anatole France, Rosny-sous-Bois, France"	"48,872251"	"2,487333"	"doubt"	""
"Le Pré-Saint-Gervais, France"	"48,884693"	"2,405747"	"doubt"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"Avenue Gambetta, Paris, France"	"48,863777"	"2,390988"	"doubt"	""
"Rue Jules Dumien, Paris, France"	"48,869543"	"2,401157"	"doubt"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"70 Rue des Vignoles, Paris, France"	"48,855416"	"2,401785"	"success"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"6 Rue de Nice, Paris, France"	"48,854803"	"2,390668"	"success"	""
"13 Rue Chevreul, Paris, France"	"48,850157"	"2,391858"	"success"	""
"Rue Davy, Villemomble, France"	"48,892988"	"2,505315"	"doubt"	""
"21 Avenue Daniel Perdrige, Neuilly-Plaisance, France"	"48,873262"	"2,510721"	"success"	""
"Avenue Robert Ballanger, Sevran, France"	"48,935479"	"2,532239"	"doubt"	""
"Romainville, France"	"48,885723"	"2,43512"	"doubt"	""
"Rue du Chemin Vert, Bobigny, France"	"48,90478"	"2,44735"	"doubt"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"10 Avenue Francis de Pressensé, Le Bourget, France"	"48,932421"	"2,424825"	"success"	""
"Allée du Progrès, La Courneuve, France"	"48,926915"	"2,391649"	"doubt"	""
"Rue Henri Poincaré, Paris, France"	"48,870265"	"2,401483"	"doubt"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"Rue Jean Jaurès, Noisy-le-Sec, France"	"48,896909"	"2,46156"	"doubt"	""
"109 Rue des Haies, Paris, France"	"48,855933"	"2,404298"	"success"	""
"Cours de la République, Bondy, France"	"48,901753"	"2,480081"	"doubt"	""
"Rue des Orteaux, Paris, France"	"48,856559"	"2,402232"	"doubt"	""
"Avenue Gambetta, Paris, France"	"48,863777"	"2,390988"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"4 Rue des Prairies, Paris, France"	"48,861253"	"2,404765"	"success"	""
"9 Avenue Detouche, Villemomble, France"	"48,885676"	"2,513397"	"success"	""
"Rue Frédérick Lemaître, Paris, France"	"48,874249"	"2,392536"	"doubt"	""
"10 Place Jean Jaurès, Montreuil, France"	"48,862006"	"2,443021"	"success"	""
"Rue Eugène Massé, Livry-Gargan, France"	"48,924784"	"2,544874"	"doubt"	""
"77 Rue de Montreuil, Paris, France"	"48,850488"	"2,391443"	"success"	""
"Rue Victor Hugo, Montreuil, France"	"48,861879"	"2,439634"	"doubt"	""
"Boulevard Gallieni, Fontenay-sous-Bois, France"	"48,849266"	"2,477279"	"doubt"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Rue Marcelin Berthelot, Montreuil, France"	"48,856223"	"2,437929"	"doubt"	""
"95 Rue Roublot, Fontenay-sous-Bois, France"	"48,851104"	"2,458721"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"211 avenue Jean Jaurès, Paris, France"	"48,894062"	"2,392952"	"success"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rue Pierre de Montreuil, Montreuil, France"	"48,863205"	"2,464601"	"doubt"	""
"Rue Édouard Vaillant, Montreuil, France"	"48,854257"	"2,432028"	"doubt"	""
"Rue du Sergent Bobillot, Montreuil, France"	"48,854499"	"2,43359"	"doubt"	""
"Rue du Clos, Paris, France"	"48,913373"	"2,296736"	"doubt"	""
"Rue Étienne Marcel, Montreuil, France"	"48,877951"	"2,449979"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"13 Rue des Boulets, Paris, France"	"48,85"	"2,39092"	"success"	""
"Rue de la Dhuis, Paris, France"	"48,867942"	"2,404856"	"doubt"	""
"Rue du Sergent Bobillot, Montreuil, France"	"48,854499"	"2,43359"	"doubt"	""
"12 Place Berthie Albrecht, Montreuil, France"	"48,86709"	"2,430937"	"success"	""
"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rosny-sous-Bois Centre Commercial, Rosny-sous-Bois, France"	"48,882285"	"2,478924"	"doubt"	""
"Noisy-le-Sec, France"	"48,890656"	"2,459651"	"doubt"	""
"211 avenue Jean Jaurès, Paris, France"	"48,894062"	"2,392952"	"doubt"	""
"144 Avenue Jean Jaurès, Les Pavillons-sous-Bois, France"	"48,903043"	"2,506822"	"success"	""
"Rue Guillemeteau, Gagny, France"	"48,88462"	"2,530277"	"doubt"	""
"Rue de la Chine, Paris, France"	"48,867372"	"2,398963"	"doubt"	""
"Place Carnot, Rosny-sous-Bois, France"	"48,873156"	"2,481937"	"success"	""
"Les Lilas, France"	"48,881336"	"2,419364"	"doubt"	""
"Cité Véron, Paris, France"	"48,884433"	"2,332038"	"doubt"	""
"62 Rue Jean-Baptiste Pigalle, Paris, France"	"48,881581"	"2,336752"	"success"	""
"7 Cité Chaptal, Paris, France"	"48,881424"	"2,333116"	"success"	""
"42 Rue Pierre Fontaine, Paris, France"	"48,882986"	"2,333327"	"success"	""
"Rue Marcadet, Paris, France"	"48,891241"	"2,342689"	"doubt"	""
"6 Rue Frochot, Paris, France"	"48,881326"	"2,33761"	"success"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Rue Félix Faure, Colombes, France"	"48,914642"	"2,257243"	"doubt"	""
"5 Rue La Bruyère, Paris, France"	"48,878923"	"2,336398"	"success"	""
"5 Rue du Plateau, Paris, France"	"48,799761"	"2,354538"	"success"	""
"Boulevard de Clichy, Paris, France"	"48,882935"	"2,335914"	"doubt"	""
"Rue de Meaux, Paris, France"	"48,881937"	"2,374047"	"doubt"	""
"10 Rue Pierre Fontaine, Paris, France"	"48,880989"	"2,334739"	"success"	""
"3 Rue Rennequin, Paris, France"	"48,880724"	"2,29924"	"success"	""
"78 Bis Boulevard des Batignolles, Paris, France"	"48,882006"	"2,318994"	"success"	""
"55 Rue de Clichy, Paris, France"	"48,88092"	"2,328556"	"success"	""
"14B Rue Sainte-Isaure, Paris, France"	"48,893679"	"2,344444"	"success"	""
"Rue Coustou, Paris, France"	"48,884042"	"2,333993"	"doubt"	""
"Rue des Trois Frères, Paris, France"	"48,884956"	"2,340497"	"doubt"	""
"Place Charles Dullin, Paris, France"	"48,883252"	"2,342158"	"doubt"	""
"37b Boulevard de la Chapelle, Paris, France"	"48,884191"	"2,358708"	"success"	""
"64 Bis Rue du Rocher, Paris, France"	"48,878878"	"2,319084"	"success"	""
"Noisy-le-Sec, France"	"48,890656"	"2,459651"	"doubt"	""
"30 Avenue Corentin Cariou, Paris, France"	"48,896218"	"2,388831"	"doubt"	""
"Neuilly-sur-Seine, France"	"48,887261"	"2,26982"	"doubt"	""
"Rue des Abbesses, Paris, France"	"48,884895"	"2,3374"	"doubt"	""
"Neuilly-sur-Seine, France"	"48,887261"	"2,26982"	"doubt"	""
"51 Rue Saint-Georges, Paris, France"	"48,878142"	"2,337405"	"success"	""
"Villa des Aubépines, Bois-Colombes, France"	"48,913909"	"2,270049"	"doubt"	""
